type,latitude,longitude,lease_type,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,amenities,water_supply,building_type,balconies
BHK2,12.9804965,77.6673131,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1200,4,2,N,2,0,0,1.0,CORPORATION,IH,0
BHK3,12.99866239,77.75588273,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1500,3,3,E,4,1,2,3.0,CORP_BORE,IF,2
BHK2,12.90715158,77.60636501,ANYONE,1,FULLY_FURNISHED,BOTH,1250,5,2,E,3,1,4,5.0,CORP_BORE,AP,1
BHK2,12.9733535,77.68011402,ANYONE,1,SEMI_FURNISHED,BOTH,1440,7,2,W,6,5,5,10.0,CORP_BORE,AP,3
BHK2,12.97163272,77.66302467,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1000,5,2,E,1,2,2,0.0,CORPORATION,IF,1
BHK2,12.9206798,77.6741922,ANYONE,1,SEMI_FURNISHED,BOTH,1465,8,2,E,2,5,9,15.0,BOREWELL,AP,2
BHK2,12.99414863,77.57818577,FAMILY,0,FULLY_FURNISHED,TWO_WHEELER,900,5,2,NE,3,2,3,12.0,CORP_BORE,AP,2
BHK3,12.99365373,77.62774695,FAMILY,1,NOT_FURNISHED,BOTH,1500,1,3,S,0,2,2,3.0,CORPORATION,AP,4
BHK3,12.9785885,77.6974294,ANYONE,0,SEMI_FURNISHED,BOTH,2250,12,2,E,2,5,5,6.0,CORP_BORE,IF,3
BHK3,12.92514892,77.56440586,FAMILY,1,SEMI_FURNISHED,BOTH,1900,10,2,E,2,0,2,2.0,CORP_BORE,IF,2
BHK2,12.91195143,77.58976879,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,6,1,E,1,2,2,3.0,CORPORATION,IF,0
RK1,12.91657165,77.65385829,ANYONE,1,FULLY_FURNISHED,BOTH,250,0,1,E,1,4,4,0.0,CORP_BORE,AP,0
BHK2,12.97628941,77.74130369,FAMILY,0,SEMI_FURNISHED,BOTH,1348,2,2,E,2,1,5,17.0,BOREWELL,AP,2
BHK1,12.9626001,77.646453,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,600,5,1,W,1,0,2,1.0,CORP_BORE,IF,2
RK1,12.96226809,77.64653183,FAMILY,0,FULLY_FURNISHED,NONE,200,1,1,W,1,4,5,1.0,BOREWELL,AP,1
BHK1,12.97077706,77.66487749,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,500,4,1,E,1,1,1,1.0,CORPORATION,IF,1
BHK1,12.95278487,77.69357444,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,400,0,1,N,1,2,4,3.0,CORP_BORE,IF,0
BHK1,12.97562498,77.53205003,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,600,1,1,E,1,1,4,3.0,CORPORATION,IH,1
BHK1,12.90418272,77.67574502,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,800,3,1,N,3,2,3,2.0,CORP_BORE,IF,1
BHK2,12.90481193,77.64045129,FAMILY,1,SEMI_FURNISHED,BOTH,1150,1,2,E,1,0,2,3.0,BOREWELL,IF,0
BHK2,12.9669841,77.7407821,FAMILY,1,FULLY_FURNISHED,BOTH,1194,1,2,E,3,4,4,11.0,CORP_BORE,AP,2
BHK2,12.95315697,77.70973516,ANYONE,1,SEMI_FURNISHED,BOTH,1500,5,2,E,1,2,4,2.0,CORPORATION,IF,4
BHK3,12.9996889,77.6662679,ANYONE,1,SEMI_FURNISHED,BOTH,1590,1,3,W,10,4,10,11.0,CORP_BORE,AP,1
BHK1,12.93617649,77.62077816,FAMILY,1,NOT_FURNISHED,TWO_WHEELER,450,5,1,E,1,0,2,1.0,CORPORATION,IF,0
BHK3,12.9884164,77.6895542,FAMILY,1,FULLY_FURNISHED,BOTH,1431,5,2,N,2,9,14,15.0,CORP_BORE,AP,2
BHK1,12.91850814,77.64740614,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,448,5,1,N,1,3,3,3.0,CORPORATION,IF,0
BHK2,12.91952785,77.51145074,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1250,5,2,N,2,1,2,1.0,CORPORATION,IF,1
BHK2,12.9954943,77.6067362,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1250,20,2,W,2,1,5,5.0,CORP_BORE,AP,3
BHK2,12.9355631,77.5894514,ANYONE,1,SEMI_FURNISHED,BOTH,750,25,2,N,4,0,5,4.0,CORPORATION,AP,1
BHK2,12.95673189,77.64242111,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,800,5,2,E,4,1,2,1.0,CORPORATION,IF,1
BHK1,12.91873071,77.5016751,FAMILY,0,SEMI_FURNISHED,BOTH,550,0,1,E,1,4,4,2.0,CORP_BORE,IF,1
BHK3,12.91786381,77.64512062,ANYONE,1,SEMI_FURNISHED,BOTH,2100,8,3,E,3,1,2,4.0,CORP_BORE,IF,1
BHK1,12.99590611,77.56461881,FAMILY,1,SEMI_FURNISHED,NONE,450,0,1,E,1,0,2,2.0,CORPORATION,IH,1
BHK2,12.90873405,77.54837381,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1500,16,2,E,1,1,2,0.0,CORP_BORE,IF,0
BHK2,12.98312615,77.53809247,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,8,2,E,2,2,2,1.0,CORP_BORE,IF,1
BHK1,12.95346356,77.59302909,ANYONE,1,SEMI_FURNISHED,NONE,700,1,1,S,1,2,2,4.0,CORP_BORE,IF,1
BHK1,12.9948372,77.76300687,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,750,0,1,N,1,0,3,3.0,CORP_BORE,IH,1
BHK2,12.9701443,77.7668229,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1175,1,2,N,2,3,3,13.0,BOREWELL,AP,1
BHK2,12.9049439,77.6193591,FAMILY,1,SEMI_FURNISHED,BOTH,1251,3,2,E,2,3,5,14.0,BOREWELL,AP,3
BHK2,12.92140163,77.60363202,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1000,1,2,E,2,1,8,2.0,CORPORATION,AP,1
BHK2,12.97210593,77.64978066,FAMILY,0,NOT_FURNISHED,TWO_WHEELER,600,15,2,S,0,0,2,1.0,CORP_BORE,IF,0
BHK2,12.90827484,77.56404962,ANYONE,1,NOT_FURNISHED,TWO_WHEELER,1000,15,2,E,0,2,3,3.0,CORPORATION,IF,1
BHK3,12.9394677,77.692292,FAMILY,0,SEMI_FURNISHED,BOTH,1800,11,3,E,3,0,4,8.0,CORP_BORE,AP,3
BHK1,12.94269706,77.60905257,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,500,4,1,E,1,2,3,0.0,CORPORATION,IF,1
BHK2,12.90679027,77.60800428,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,780,10,2,W,2,1,1,2.0,CORPORATION,IH,0
BHK2,12.92646474,77.55099226,FAMILY,0,SEMI_FURNISHED,BOTH,900,15,2,W,2,0,1,4.0,CORP_BORE,IF,0
BHK3,12.9088006,77.6842281,ANYONE,0,SEMI_FURNISHED,BOTH,1600,6,3,S,3,0,4,19.0,CORP_BORE,AP,1
BHK3,12.99240944,77.66336392,ANYONE,1,SEMI_FURNISHED,BOTH,1600,10,2,W,3,2,5,12.0,CORP_BORE,AP,2
BHK2,12.93214647,77.62734904,ANYONE,1,SEMI_FURNISHED,NONE,900,15,1,N,0,0,3,2.0,CORP_BORE,IF,0
BHK2,12.9020624,77.6640759,FAMILY,1,SEMI_FURNISHED,BOTH,1300,0,2,N,2,14,18,10.0,CORP_BORE,AP,1
BHK2,12.97174869,77.65680905,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1150,23,2,N,2,1,3,1.0,CORPORATION,IF,0
BHK1,12.91189054,77.54606233,FAMILY,1,SEMI_FURNISHED,BOTH,600,4,1,NW,1,1,4,1.0,CORPORATION,IH,0
BHK2,12.9483845,77.71862689,FAMILY,0,SEMI_FURNISHED,BOTH,1400,2,2,E,2,4,4,14.0,BOREWELL,AP,0
BHK3,12.9106097,77.6768315,FAMILY,1,SEMI_FURNISHED,BOTH,1600,6,3,E,3,2,5,15.0,CORPORATION,AP,2
BHK2,12.99961238,77.68654159,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,900,5,2,N,2,0,2,5.0,CORPORATION,IF,0
BHK2,12.9242199,77.5191195,FAMILY,1,SEMI_FURNISHED,NONE,1200,4,2,E,2,1,3,6.0,CORPORATION,IF,0
BHK3,12.9706856,77.7069747,FAMILY,1,SEMI_FURNISHED,BOTH,1251,3,2,NE,2,6,6,7.0,BOREWELL,AP,1
BHK2,12.966917,77.7412292,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1200,0,2,E,3,2,6,10.0,CORP_BORE,AP,2
BHK2,12.95861275,77.64903784,FAMILY,1,FULLY_FURNISHED,BOTH,1200,5,2,E,7,3,4,6.0,CORP_BORE,AP,1
BHK4,12.92689584,77.5481249,FAMILY,1,SEMI_FURNISHED,BOTH,2400,22,4,W,3,0,2,4.0,CORP_BORE,IF,0
BHK2,12.9264579,77.6762179,ANYONE,1,SEMI_FURNISHED,BOTH,1000,5,2,NE,2,1,4,9.0,BOREWELL,AP,1
BHK2,12.95065796,77.62458796,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,750,8,1,N,2,1,2,3.0,CORP_BORE,IF,1
BHK3,12.95607151,77.6395923,ANYONE,1,SEMI_FURNISHED,FOUR_WHEELER,1700,8,3,S,4,1,2,11.0,CORP_BORE,AP,3
BHK2,12.90438142,77.67590059,FAMILY,1,SEMI_FURNISHED,BOTH,1100,3,2,E,2,1,3,7.0,BOREWELL,IF,1
BHK4,12.99913614,77.61948012,FAMILY,1,SEMI_FURNISHED,NONE,2000,15,2,E,3,1,2,1.0,CORP_BORE,IF,2
BHK2,12.94586064,77.54860105,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,600,6,1,E,2,0,2,3.0,CORP_BORE,IF,0
BHK2,12.92924877,77.57304427,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1500,5,1,N,2,3,3,2.0,BOREWELL,IF,0
BHK2,12.9254533,77.546757,FAMILY,0,NOT_FURNISHED,TWO_WHEELER,950,10,1,E,2,2,2,2.0,CORP_BORE,IF,1
BHK3,12.9659916,77.7025354,ANYONE,1,SEMI_FURNISHED,FOUR_WHEELER,1300,8,2,N,3,4,4,5.0,CORP_BORE,AP,3
BHK3,12.9882809,77.6980805,ANYONE,1,SEMI_FURNISHED,BOTH,1685,7,3,SE,6,3,4,6.0,CORP_BORE,AP,3
BHK2,12.97403762,77.56127173,FAMILY,1,NOT_FURNISHED,NONE,700,1,1,E,0,2,4,1.0,CORPORATION,IF,1
BHK2,12.9625452,77.67493557,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1200,0,2,N,2,0,3,3.0,CORP_BORE,IF,0
BHK3,12.90771346,77.68036522,FAMILY,1,SEMI_FURNISHED,BOTH,1515,1,3,E,6,1,5,6.0,BOREWELL,AP,2
BHK3,12.97564247,77.53144815,FAMILY,0,SEMI_FURNISHED,BOTH,1450,2,2,N,3,1,5,2.0,CORP_BORE,AP,2
BHK2,12.96213445,77.5344142,ANYONE,1,SEMI_FURNISHED,NONE,750,15,1,N,1,1,2,1.0,CORPORATION,IF,1
BHK2,12.92452564,77.50785561,BACHELOR,1,FULLY_FURNISHED,BOTH,1400,0,1,N,1,2,4,11.0,CORP_BORE,AP,1
BHK2,12.97630123,77.7408082,FAMILY,1,SEMI_FURNISHED,BOTH,1225,3,2,W,2,2,4,15.0,BOREWELL,AP,2
RK1,12.96423239,77.72490287,BACHELOR,0,SEMI_FURNISHED,TWO_WHEELER,180,2,1,N,1,0,3,7.0,BOREWELL,AP,0
BHK2,12.90501626,77.68050171,FAMILY,1,SEMI_FURNISHED,BOTH,800,10,2,E,2,2,2,1.0,BOREWELL,IF,2
BHK2,12.96760877,77.75485721,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1000,5,2,E,2,0,2,1.0,CORPORATION,IF,0
BHK2,12.95278838,77.71067669,ANYONE,1,SEMI_FURNISHED,BOTH,1100,1,2,E,6,2,3,1.0,CORPORATION,IH,1
BHK2,12.9548498,77.7244849,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1200,1,2,N,4,1,5,7.0,CORP_BORE,AP,2
BHK3,12.9206798,77.6741922,ANYONE,1,SEMI_FURNISHED,BOTH,1700,4,2,N,3,1,11,13.0,CORP_BORE,AP,3
BHK1,12.96626418,77.71781591,ANYONE,1,FULLY_FURNISHED,BOTH,800,5,1,E,2,1,5,7.0,CORP_BORE,AP,2
BHK2,12.94715974,77.70363417,ANYONE,1,SEMI_FURNISHED,FOUR_WHEELER,750,0,2,E,2,1,4,3.0,BOREWELL,IF,1
BHK1,12.90990738,77.60000527,ANYONE,0,SEMI_FURNISHED,NONE,600,4,1,N,0,2,2,1.0,CORPORATION,IF,0
BHK2,12.90893568,77.55816742,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,750,3,2,SW,2,1,3,1.0,CORPORATION,IH,0
BHK3,12.93038439,77.56655644,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1000,5,2,N,2,0,2,2.0,CORP_BORE,IF,0
RK1,12.90594213,77.63865655,BACHELOR,1,SEMI_FURNISHED,BOTH,300,0,1,E,1,3,3,4.0,BOREWELL,IF,0
BHK1,12.92410248,77.61491831,ANYONE,1,NOT_FURNISHED,FOUR_WHEELER,450,9,1,E,0,1,1,5.0,CORPORATION,IF,1
BHK3,12.95596354,77.5982813,ANYONE,0,SEMI_FURNISHED,NONE,1000,7,1,N,3,1,2,3.0,CORP_BORE,IF,1
BHK3,12.90340306,77.57190906,ANYONE,0,SEMI_FURNISHED,BOTH,1800,10,3,E,3,7,8,8.0,CORP_BORE,AP,3
BHK3,12.96525192,77.71337632,ANYONE,1,SEMI_FURNISHED,BOTH,1500,4,3,E,3,2,5,3.0,BOREWELL,AP,3
BHK2,12.98165821,77.7289974,FAMILY,1,SEMI_FURNISHED,BOTH,1000,2,2,N,2,1,2,2.0,CORP_BORE,AP,2
BHK2,12.97746361,77.6808103,ANYONE,0,SEMI_FURNISHED,BOTH,975,3,2,E,2,1,3,7.0,CORPORATION,IF,2
BHK2,12.90948508,77.61109078,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,600,0,2,N,2,1,2,1.0,CORP_BORE,IF,0
BHK2,12.94199467,77.69631195,FAMILY,1,SEMI_FURNISHED,BOTH,1325,7,2,W,2,5,6,6.0,CORP_BORE,AP,4
BHK1,12.92108839,77.61801548,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,700,2,1,E,1,0,1,3.0,CORP_BORE,IF,0
BHK2,12.9075337,77.5656904,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,5,1,N,2,1,2,6.0,CORP_BORE,IF,1
BHK3,12.97114943,77.75049758,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1400,1,3,W,5,2,4,9.0,BOREWELL,AP,1
BHK2,12.9495026,77.7188918,FAMILY,1,SEMI_FURNISHED,BOTH,1285,4,2,N,2,2,3,15.0,BOREWELL,AP,2
BHK2,12.99064178,77.67476991,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1000,8,2,E,2,0,1,1.0,CORPORATION,IF,1
BHK3,12.9693604,77.6657224,FAMILY,1,SEMI_FURNISHED,BOTH,1500,10,3,W,3,0,2,2.0,CORP_BORE,AP,3
BHK2,12.9672257,77.7394432,FAMILY,1,SEMI_FURNISHED,BOTH,1145,0,2,N,2,0,4,10.0,BOREWELL,AP,2
BHK3,12.9275068,77.54612198,FAMILY,0,SEMI_FURNISHED,BOTH,1350,9,3,N,3,2,4,3.0,CORP_BORE,IF,0
BHK2,12.93599564,77.6165583,ANYONE,1,NOT_FURNISHED,BOTH,1100,1,2,E,0,4,4,4.0,CORPORATION,IF,1
BHK2,12.9186206,77.6241007,ANYONE,1,FULLY_FURNISHED,BOTH,1100,1,2,W,4,0,4,5.0,CORPORATION,AP,0
BHK3,12.9141041,77.7164282,ANYONE,1,SEMI_FURNISHED,BOTH,2100,3,3,N,3,1,10,13.0,BOREWELL,AP,5
BHK2,12.9834759,77.7755112,ANYONE,1,SEMI_FURNISHED,BOTH,1075,1,2,E,2,1,5,2.0,CORP_BORE,AP,1
BHK1,12.97234428,77.6975906,ANYONE,1,SEMI_FURNISHED,NONE,350,5,1,N,1,1,1,3.0,CORPORATION,IF,1
BHK2,12.9498718,77.7181144,FAMILY,1,SEMI_FURNISHED,BOTH,885,7,2,E,5,2,3,6.0,CORP_BORE,AP,1
BHK2,12.98537087,77.76304973,FAMILY,1,FULLY_FURNISHED,BOTH,1450,3,2,E,2,4,4,14.0,BOREWELL,AP,2
BHK2,12.90298952,77.57485723,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,5,1,N,1,0,0,4.0,CORP_BORE,IH,0
BHK2,12.92051525,77.55019027,FAMILY,1,SEMI_FURNISHED,BOTH,880,15,2,S,2,1,8,13.0,CORP_BORE,AP,0
BHK2,12.95342331,77.54094233,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,20,2,N,2,1,2,3.0,CORP_BORE,IF,0
BHK2,12.9753642,77.7510562,ANYONE,0,SEMI_FURNISHED,BOTH,1100,1,2,E,2,3,4,8.0,BOREWELL,AP,1
BHK2,12.90964161,77.58144475,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1100,15,2,W,3,1,2,3.0,CORPORATION,IF,1
BHK3,12.9996889,77.6662679,FAMILY,1,SEMI_FURNISHED,BOTH,1586,2,3,E,3,7,10,15.0,CORP_BORE,AP,1
BHK3,12.90150974,77.62909409,ANYONE,1,SEMI_FURNISHED,BOTH,1620,3,3,S,3,7,24,17.0,CORP_BORE,AP,2
BHK2,12.9617025,77.66108887,ANYONE,1,SEMI_FURNISHED,BOTH,1300,4,2,W,2,0,2,4.0,CORP_BORE,IF,2
BHK1,12.90432913,77.67548216,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,650,5,1,N,1,0,3,1.0,BOREWELL,IF,0
BHK2,12.9543543,77.7166373,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1350,10,2,E,3,2,3,10.0,CORPORATION,AP,3
BHK3,12.91390771,77.60798723,ANYONE,1,SEMI_FURNISHED,BOTH,1900,6,3,E,4,1,1,1.0,CORPORATION,IF,2
BHK2,12.91070019,77.60618184,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,800,20,2,W,2,0,2,1.0,CORP_BORE,IF,0
BHK3,12.95620441,77.72843933,FAMILY,1,SEMI_FURNISHED,BOTH,1470,1,2,E,3,3,12,13.0,CORP_BORE,AP,3
BHK2,12.90214363,77.62180022,ANYONE,0,NOT_FURNISHED,TWO_WHEELER,800,0,2,E,0,0,2,1.0,CORP_BORE,IF,0
BHK2,12.93021053,77.55652792,FAMILY,0,SEMI_FURNISHED,BOTH,1000,20,2,W,4,1,2,4.0,CORP_BORE,AP,1
